typeid,type,valid,val,enum
28,Digitizing Software,208,"VueScan, Photoshop CS,  and Epson Twain Pro 2.1", 
28,Digitizing Software,207,Photoshop LE 5.5 scanning software, 
28,Digitizing Software,410,Photoshop 7.0 and Epson Twain Pro 2.1 scanning software, 
28,Digitizing Software,411,Photoshop CS and HP Scanjet 4800 series Twain scanning software, 
28,Digitizing Software,209,"Photoshop CS, Epson Twain Pro 2.1 scanning software", 
29,Digitize Parameters,448,Grayscale 8-bit, 
29,Digitize Parameters,212,RGB Color 24-bit, 
29,Digitize Parameters,672,Color, 
30,Cleaning,226,N/A, 
30,Cleaning,225,Complete, 
30,Cleaning,224,Needs, 
31,Mount,369,Needs Hangers, 
31,Mount,231,Framing Needed, 
31,Mount,230,Velcro Complete, 
31,Mount,229,Velcro Needed, 
31,Mount,228,Complete, 
31,Mount,227,Needed, 
31,Mount,232,Framing Complete, 
32,Server Path,1379,\\nebula.srv.fortlewis.edu\SWCenterImages\ItemImages\2021\2021.039\, 
32,Server Path,250,\\atlas\swcenterimages\ItemImages\L2004Nighthorse\, 
32,Server Path,251,\\atlas\swcenterimages\ExhibitsCSWS\060324_MesaVerde\00-Misc\, 
32,Server Path,252,\\atlas\swcenterimages\ExhibitsCSWS\060324_MesaVerde\01-Intro\, 
32,Server Path,253,\\atlas\swcenterimages\ExhibitsCSWS\060324_MesaVerde\03-Fire\, 
32,Server Path,254,\\atlas\swcenterimages\ExhibitsCSWS\060324_MesaVerde\04-AutoCad\, 
32,Server Path,255,\\atlas\swcenterimages\ExhibitsCSWS\060324_MesaVerde\05-RockArt\, 
32,Server Path,256,\\atlas\swcenterimages\ExhibitsCSWS\060324_MesaVerde\06-ArchInPark\, 
32,Server Path,257,\\atlas\swcenterimages\ExhibitsCSWS\060324_MesaVerde\07-ContempArt\, 
32,Server Path,258,\\atlas\swcenterimages\ExhibitsCSWS\060324_MesaVerde\09-PostCards\, 
32,Server Path,259,\\atlas\swcenterimages\ExhibitsCSWS\060324_MesaVerde\11-Pottery\, 
32,Server Path,260,\\fortlewis.edu\shares\sw_center\CURATOR\CSWS-EXHIBITS\060213_NavTibNNM\, 
32,Server Path,261,\\atlas\swcenterimages\ExhibitsCSWS\060324_MesaVerde\08-ParkRanger\06MV08_Images\, 
32,Server Path,262,\\atlas\swcenterimages\ExhibitsCSWS\060324_MesaVerde\01-Intro\06MV01_Images\, 
32,Server Path,263,\\atlas\swcenterimages\AccnLnDocsImages\L2004Nighthorse\, 
32,Server Path,264,\\fortlewis.edu\shares\sw_center\CURATOR\CSWS-EXHIBITS\050422_NavTib\Bill Liske Artifacts\, 
32,Server Path,265,\\atlas\swcenterimages\ExhibitsCSWS\060119_FiberFiesta\Images\, 
32,Server Path,266,\\atlas\swcenterimages\ItemImages\DurangoCollection\DCNC\, 
32,Server Path,323,\\atlas\swcenterimages\AccnLnDocsImages\2000-2007\, 
32,Server Path,324,\\atlas\swcenterimages\ItemImages\2000-\, 
32,Server Path,325,\\atlas\swcenterimages\ItemDocs\2000-2007\, 
32,Server Path,357,\\atlas\swcenterimages\ItemDocs\2000-\Wade Baskets\, 
32,Server Path,358,\\atlas\swcenterimages\ItemImages\2000-\Framed Images\, 
32,Server Path,359,\\atlas\swcenterimages\ItemImages\1990-1999\, 
32,Server Path,360,\\atlas\swcenterimages\ItemImages\1958-1969\, 
32,Server Path,361,\\atlas\swcenterimages\ItemImages\1970-1979\, 
32,Server Path,362,\\atlas\swcenterimages\ItemImages\1980-1989\, 
32,Server Path,363,\\atlas\swcenterimages\ItemImages\L2000-2009\Mesa Verde Pottery\, 
32,Server Path,365,\\atlas\swcenterimages\ItemImages\L2000-2009\, 
32,Server Path,366,\\atlas\swcenterimages\ItemImages\L2000-2009\MV Pottery-PR Shots-Lakewood\, 
32,Server Path,384,\\atlas\swcenterimages\ExhibitsCSWS\061113_MV Lakewood\TreeHouseMural\, 
32,Server Path,400,\\atlas\swcenterimages\ExhibitsCSWS\061113_MV Lakewood\Rock Art\GraphicDesign\RockartLW\, 
32,Server Path,401,\\atlas\swcenterimages\AccnLnDocsImages\L2000-\, 
32,Server Path,402,\\atlas\swcenterimages\ItemImages\DurangoCollection\DCMI\, 
32,Server Path,403,\\atlas\swcenterimages\, 
32,Server Path,404,\\atlas\swcenterimages\ExhibitsCSWS\070601_OldSpanishTrail\, 
32,Server Path,407,\\atlas\swcenterimages\ItemImages\L2000-2009\MV Returns\, 
32,Server Path,408,\\atlas\swcenterimages\ExhibitsCSWS\061105_FallExhibits\Images\ExhibitOpening\, 
32,Server Path,420,\\atlas\swcenterweb\Swimages\, 
32,Server Path,421,\\atlas\swcenterimages\CollectionTiffs\M194\, 
32,Server Path,422,\\atlas\swcenterimages\CollectionTiffs\M195\, 
32,Server Path,423,\\atlas\swcenterimages\CollectionTiffs\M224\, 
32,Server Path,424,\\atlas\swcenterimages\ExhibitsCSWS\081201_DurPublicLibCases\, 
32,Server Path,437,\\fortlewis.edu\shares\sw_center\GRANTS\IMLS Conservation 2006\Painting Conservation Surveys\, 
32,Server Path,443,\\fortlewis.edu\shares\sw_center\GRANTS\IMLS Conservation 2006\Paper Conservation Surveys\Scanned Surveys\, 
32,Server Path,445,\\atlas\swcenterimages\ExhibitsCSWS\070225_ColoradoLandscapes\Documents\, 
32,Server Path,446,\\atlas\swcenterimages\ItemImages\L2000-2009\L2007.0003_Landscape Paintings\, 
32,Server Path,447,\\atlas\swcenterimages\ItemImages\L2000-2009\San Juan Images\, 
32,Server Path,456,\\atlas\swcenterimages\ItemImages\L2000-2009\Sue Cowan Pottery\, 
32,Server Path,463,\\atlas\swcenterweb\images\M197\, 
32,Server Path,464,\\atlas\swcenterimages\ItemDocs\1990-1999\, 
32,Server Path,465,\\atlas\swcenterimages\ItemDocs\1980-1989\, 
32,Server Path,466,\\atlas\swcenterimages\ItemDocs\1970-1979\, 
32,Server Path,470,\\atlas\swcenterimages\ItemImages\DurangoCollection\DCNN\, 
32,Server Path,471,\\atlas\swcenterimages\ItemImages\DurangoCollection\DCNR\, 
32,Server Path,472,\\atlas\swcenterimages\ItemImages\DurangoCollection\DCNT\, 
